sentence1,sentence2,entailment_scores
"And it's the chasing into the greater appetite for newness and freshness, and then specifically around the brands that we know are really resonating with the consumer today and will be resonating with the consumer as we anticipate we go through the year.",This text is about a strong consumer or increased consumption.,0.511821926
"And so, one of the customer segments that we've identified, for example, is a high-value, first-time purchaser.",This text is about a strong consumer or increased consumption.,0.501667261
"We have hit the mark across all of our objectives with this remodel and are making meaningful improvement with OSAT scores and higher intent to return less in loyalty members and Special Event revenues up nearly 60%, all of which gives us even more confidence in the importance and staying power of these remodel investments.",This text is about a strong consumer or increased consumption.,0.544925392
"While consumers are seeking value, they also have proven that they will not sacrifice their health and wellness and remain committed to consuming high quality, nutritious products at affordable prices.",This text is about a strong consumer or increased consumption.,0.547260284
"For new stores, much like our performance in comp sales, performance here also exceeded our expectations.",This text is about a strong consumer or increased consumption.,0.304666281
And we've been very successful in that.,This text is about a strong consumer or increased consumption.,0.317539424
"When you talk about consumer demand, I mean, I get this question a lot, hey guys, it seems like you're increasing your promotional cadence.",This text is about a strong consumer or increased consumption.,0.567244172
And it's really been strong throughout 2024.,This text is about a strong consumer or increased consumption.,0.590938389
"The category is on fire, as you sort of look out.",This text is about a strong consumer or increased consumption.,0.447194964
"We expect the consumer fundamentals that have supported the historical growth in our business to remain intact throughout 2024, while we continue to monitor the potential impact of inventory levels of distributors, overall American whiskey supply and consumption patterns and inflation on consumers.",This text is about a strong consumer or increased consumption.,0.640806079
"Maybe you could just give us an update on how big it is, how fast it's growing and your strategy around DIY, going forward.",This text is about a strong consumer or increased consumption.,0.36652723
So let me – I'll take all of these.,This text is about a strong consumer or increased consumption.,0.326183707
Magnetic brands like Driveway and GreenCars provide a pathway to 50 times more customers than our core business offer.,This text is about a strong consumer or increased consumption.,0.518028557
A lot of kudos to you all for achieving those goals and maybe even achieving them ahead of time.,This text is about a strong consumer or increased consumption.,0.402380645
"Over the past few years, we've seen more 25 to 35-year olds in AE's customer base and we want to capitalize on this.",This text is about a strong consumer or increased consumption.,0.344481826
"As we look to the second half of 2024, we continue to expect our ongoing cost rationalization and other initiatives will position us to deliver a full-year gross margin rate Importantly, we have seen continued consumer demand for our leading brand, particularly STIGA table tennis along with Bear Archery and Brunswick Billiards.",This text is about a strong consumer or increased consumption.,0.5655334
"And clearly, our customers are finding value in what they're finding at Walmart.",This text is about a strong consumer or increased consumption.,0.406404406
Our business has great momentum.,This text is about a strong consumer or increased consumption.,0.563372254
"GreenCars, the leading sustainable vehicle education channel, continues to grow as the lead generation channel and contributed over 730,000 MUVs, up 71% over last year, doing so with very little expense.",This text is about a strong consumer or increased consumption.,0.445574224
The quarter saw same-store revenue overall up double-digit year-over-year.,This text is about a strong consumer or increased consumption.,0.477522552
We're seeing the consumer just fine after that.,This text is about a strong consumer or increased consumption.,0.309730381
The convenient nutrition category grew 10% in Q1 as tailwinds around health and wellness and fitness continue to drive growth.,This text is about a strong consumer or increased consumption.,0.68298614
"So, closed-toe offering, as you know, is now a third of our business and it continues to grow at the pace of more than twice as fast as our sandals.",This text is about a strong consumer or increased consumption.,0.631296575
"Our third quarter results were slightly ahead of our expectations on a fundamental basis, as demand improved through the quarter.",This text is about a strong consumer or increased consumption.,0.332641184
"I'm talking about pumpkin spiced, apple, pecan pie, that will continue to fuel growth.",This text is about a strong consumer or increased consumption.,0.594072044
"Today, we have a more streamlined company focus on two consumer segment with broad appeal and attractive long-term tailwinds, Outdoor and Adventure.",This text is about a strong consumer or increased consumption.,0.43818137
"Given consistent execution, we are extremely well positioned for even greater success as strong demand for affordable offerings continues to see short supply.",This text is about a strong consumer or increased consumption.,0.688753903
"And most importantly, I'd like to thank our loyal customers and our 1,800 hardworking members of the Ruger team who design, build and sell rugged, reliable firearms throughout the year.",This text is about a strong consumer or increased consumption.,0.486927778
We knew that our top line momentum would build quarter-over-quarter and it has.,This text is about a strong consumer or increased consumption.,0.482092589
"And we're actually – I think we have enough to support both that business as well as the continuing business we have overall, so we feel like we're in pretty good shape there.",This text is about a strong consumer or increased consumption.,0.31684494
"Our world-class loyalty program expanded again this quarter, with the retention of our most valuable members remains very strong.",This text is about a strong consumer or increased consumption.,0.34051317
"Household penetration added just over 3 percentage points reaching 19.4%, surpassing our goal for the year.",This text is about a strong consumer or increased consumption.,0.310682595
The brand is already ahead of expectations with wholesale accounts showing great enthusiasm for the brand and product.,This text is about a strong consumer or increased consumption.,0.346511573
"But initially, for half of the assortment being online, we're very excited about it, and we are being presented as the retailer literally supporting their Big + Tall consumer because their assortment relative to what we're bringing to the mix is much, much smaller relative to what we're bringing to the mix.",This text is about a strong consumer or increased consumption.,0.360614538
They are representing a larger portion of our overall sales and I think that's a really good thing for us long term because it's that continued newness that Rick talked about in our prepared remarks that really drive sales in the peak period.,This text is about a strong consumer or increased consumption.,0.433574438
Any thoughts on conversion or financing and anything like that to kind of help us handicap this pretty good improvement?,This text is about a strong consumer or increased consumption.,0.535526574
"As a result, this quarter, we delivered meaningful growth and earned media value and social sentiment, and drove more than 250 million social impressions.",This text is about a strong consumer or increased consumption.,0.407297492
"We are still sharing in the upside, but our focus moving forward and where our resources will be allocated will be on our Automotive and Consumer segments.",This text is about a strong consumer or increased consumption.,0.572414041
"HOKA performance was driven by the brand's compelling product assortment, including new launches, which experienced strong demand across the brand's global marketplace.",This text is about a strong consumer or increased consumption.,0.490005583
"Because what we find is once a customer tries Our Brand (sic) [Our Brands], their repeat rate of customers coming back is incredibly high.",This text is about a strong consumer or increased consumption.,0.511135459
The snackier portion of Quest products continue to do well with Q1 measured channel retail takeaway up 24%.,This text is about a strong consumer or increased consumption.,0.492867947
"We will drive growth through innovative product and technology offerings, an enhanced direct-to-consumer channel strategy, and an expanded digital gaming ecosystem.",This text is about a strong consumer or increased consumption.,0.416401744
"The improvement in women's apparel was supported by seasonally relevant newness in addition to our turnaround with the young customer, which is an area we have a multiyear plan to improve.",This text is about a strong consumer or increased consumption.,0.302568674
"We have two of the most exciting brands in the two biggest beauty categories; makeup, number one; and skincare, number two in the US prestige beauty market.",This text is about a strong consumer or increased consumption.,0.412665427
"In addition, Web traffic continues to be very strong.",This text is about a strong consumer or increased consumption.,0.510458708
Congratulations on another nice quarter here.,This text is about a strong consumer or increased consumption.,0.662051082
"I can't speak to macroeconomics, because there's a lot going on in the world, but at least with what we have to offer, people are happy to pay and to participate, and we think that's a great thing.",This text is about a strong consumer or increased consumption.,0.448988825
"I guess just to step back, pre-pandemic, we consistently drove volume growth across our business in those segments.",This text is about a strong consumer or increased consumption.,0.606739223
"Sophia Learning, our direct to consumer portal of college level classes grew its revenue in the first quarter by 45% and generated a 51% operating margin, which is up from 44% in the prior year.",This text is about a strong consumer or increased consumption.,0.664980829
"And then just switching gears, on the other hand, Rhyz just absolutely continues to be a bright spot.",This text is about a strong consumer or increased consumption.,0.598717749
These are just a few examples of our innovation and marketing efforts to increase the sales velocity of our premium plus brand's portfolio.,This text is about a strong consumer or increased consumption.,0.686743915
"You guys are always out punching your weight in that market, and you still have additional space to expand the property or build something differently.",This text is about a strong consumer or increased consumption.,0.492203891
"Then in mid-September, we brought back our guest favorite, the Black Truffle Burger, including Shroom and Shack Stack options, as well as the Parmesan Garlic Fries with Black Truffle Sauce.",This text is about a strong consumer or increased consumption.,0.400715053
"In fact, we gained share with the East brand in Canada.",This text is about a strong consumer or increased consumption.,0.675570488
"When Taylor Swift goes to Miami, you do see a pickup in business.",This text is about a strong consumer or increased consumption.,0.441790998
"What you've learned, what is the pace of growth, and how that's adding to comps, and just general awareness among your membership base of the service there, particularly as you add new services like you mentioned the pharmacy, I guess, coming in and what something like that could do to the growth there.",This text is about a strong consumer or increased consumption.,0.554606378
Our new marketing activations amplifying this category such as our social media influencers and pop-up shops are resonating with our customer and are fueling growth.,This text is about a strong consumer or increased consumption.,0.302204967
"In addition, our B2C business saw meaningful sequential acceleration in year-over-year revenue growth in the back half of the year and generated marketing leverage for the full year.",This text is about a strong consumer or increased consumption.,0.428234637
We're still looking forward to achieving significantly higher acquisition as we get into more performance athletics but we're just very beginning of that.,This text is about a strong consumer or increased consumption.,0.350507408
"We remain optimistic about the long-term prospects for the Monster brand in China and India, and are excited about the expansion of Predator in these two countries.",This text is about a strong consumer or increased consumption.,0.313759446
What is even more impressive and a more important metric for us is that units grew 5.7% in April and 3% L52.,This text is about a strong consumer or increased consumption.,0.339261115
"We are quickly expanding this brand across Retail, led by the launch of Bavarian sticks, which has become the number two seller in Superpretzel portfolio reaching an ACV of 25% and growing.",This text is about a strong consumer or increased consumption.,0.62572217
"According to the most recent IDC data covering shipments through June of 2024, Garmin's global market share in advanced wearables increased over 200 basis points year-over-year, and we were the only global brand experiencing growth in shipments.",This text is about a strong consumer or increased consumption.,0.48667261
"I'm pleased to report that we had a very strong finish to 2023 with both fourth quarter's same restaurant sales and traffic growth accelerating versus the third quarter, along with improved restaurant-level profitability.",This text is about a strong consumer or increased consumption.,0.657675803
ESPN BET has and continues to bring new sports fans and bettors into the sports betting ecosystem.,This text is about a strong consumer or increased consumption.,0.497821748
"So, it just takes a few more levers to get people across the goal line and very normal, and again, everything we plan in our business going forward.",This text is about a strong consumer or increased consumption.,0.355393708
And  for your interest in Mission Produce.,This text is about a strong consumer or increased consumption.,0.369717985
"They strengthened as the quarter progressed and demonstrated comparable store sales growth versus prior year late in the quarter, on the strength of sandals and athletics.",This text is about a strong consumer or increased consumption.,0.483033836
"This represents an increase of 162.9%, further exemplifying the power of our unit economic model.",This text is about a strong consumer or increased consumption.,0.394923598
"We believe we brought this compelling offer to the guests at the perfect moment, helping them balance holiday travel and shopping, knowing they could count on Denny's for the best breakfast out there at an incredibly compelling price.",This text is about a strong consumer or increased consumption.,0.621900976
So we'll continue to invest on Mavely.,This text is about a strong consumer or increased consumption.,0.348355085
"In fact, in January alone, we saw the most online home reservations in a single month with the highest monthly sales contribution since March of 2021.",This text is about a strong consumer or increased consumption.,0.665738881
"For the full year, we grew Levi's brand revenue to $5.4 billion, a multi-decade high with AURs up 3% over prior year.",This text is about a strong consumer or increased consumption.,0.481550157
"As Sima mentioned, we're seeing encouraging retention and LTV data and are enthusiastic about our product road map and marketing plans for the rest of the year.",This text is about a strong consumer or increased consumption.,0.670512855
"According to IRI, for all outlets combined in Australia, the energy drink category increased 10.8% for the four weeks ending July 14, 2024.",This text is about a strong consumer or increased consumption.,0.32640484
"So, for example, we pivoted and brought back Shrimp & Grits, which is a big customer favorite.",This text is about a strong consumer or increased consumption.,0.471597672
"In footwear, we are seeing particular success with tall shaft boots, soccer-inspired sneakers and Mary Janes.",This text is about a strong consumer or increased consumption.,0.322208464
Our quarterly absorption rate increased 38% to 7.6 homes per average active selling community.,This text is about a strong consumer or increased consumption.,0.654679596
"Our core fuel and tobacco categories continue to outperform and our customer remains resilient, giving us further assurance we can meet this goal and continue our track record of delivering top-tier shareholder returns.",This text is about a strong consumer or increased consumption.,0.537038565
"It's clear we have the right approach to win in today's environment, with committed leaders and partners and a game plan for our two, unique, incredible brands primed for growth and continued momentum for 2024 and beyond.",This text is about a strong consumer or increased consumption.,0.356582373
And that's what's really driving more stores.,This text is about a strong consumer or increased consumption.,0.621410847
"For the 12-month period, our average ticket grew by 2.4% and transactions grew 8.6% versus the same prior year period.",This text is about a strong consumer or increased consumption.,0.402112305
We have been thrilled by the seamless adoptions by our guests.,This text is about a strong consumer or increased consumption.,0.488664031
Consumer confidence remains resilient in 2023 despite higher mortgage rates.,This text is about a strong consumer or increased consumption.,0.622635841
"In North America, particularly in the US, because we saw very strong growth in Canada, the women's business, and when we look at newness, again, we saw good growth.",This text is about a strong consumer or increased consumption.,0.301816791
"While comps in our Ralph Lauren stores and own digital sites were strong around the world, we were particularly encouraged by the continued improvement in our outlet trends.",This text is about a strong consumer or increased consumption.,0.384876758
"Q3 sales growth was well ahead of our expectations, driven by broad-based strength across our business, all regions, all channels, all major merchandise categories, and importantly, all brands, Victoria's Secret, PINK and Adore Me, leading to our best quarterly sales growth performance since 2021.",This text is about a strong consumer or increased consumption.,0.551236928
"We reached almost 1 million customer accounts at the end of the quarter, a significant milestone for EVgo, underscoring the quality of the EVgo network.",This text is about a strong consumer or increased consumption.,0.437907338
And especially like your Bitty Pop!,This text is about a strong consumer or increased consumption.,0.360233754
"We also continue to invest in our Beer business in fiscal 2024, deploying approximately $950 million in capital expenditures, supporting our ability to meet the continued robust demand we see for our brands through the expansion of our beer brewing capacity at Nava and Obregon and the ongoing work at our new Veracruz site.",This text is about a strong consumer or increased consumption.,0.652632356
And we're grateful for your interest and your support and we look forward to updating you next quarter on our continued progress towards the goals we've outlined.,This text is about a strong consumer or increased consumption.,0.421723247
"As we've talked about, if volume is too strong, we will potentially look at pulling back a little bit of media spend to pull things off a bit, and we continue to monitor that very, very closely.",This text is about a strong consumer or increased consumption.,0.532159388
"And I think that's the business that was missing obviously during COVID the most, and I think that's the strongest part that we see coming back.",This text is about a strong consumer or increased consumption.,0.453210831
"For the first quarter of fiscal year 2025, excluding global travel retail, our luxury and artisanal brands delivered mid-single-digit organic sales growth, fueled by gains in every region.",This text is about a strong consumer or increased consumption.,0.562378705
"Today, I'll discuss the opportunities we see for sales growth this year and say a few words about our current view of the consumer.",This text is about a strong consumer or increased consumption.,0.680536747
We are very pleased to report a consolidated sales increase of 7.8% to $3.88 billion which included $170 million from the 53rd week.,This text is about a strong consumer or increased consumption.,0.586410224
We look forward to continuing to provide updates that highlight the momentum and efforts that support Zig-Zag's growth.,This text is about a strong consumer or increased consumption.,0.511619091
We're proud of how Spruce is delivering on its mission to help people take control of their finances.,This text is about a strong consumer or increased consumption.,0.318812132
"We're very encouraged that our largest and most profitable business, Learning & Development, continues with three straight quarters of core sales growth.",This text is about a strong consumer or increased consumption.,0.308285385
"Our addressable market is expanding and new-to-cruise continues to grow, increasing 16% year-over-year.",This text is about a strong consumer or increased consumption.,0.341567218
"Focusing now on IQOS in Europe, where fundamental dynamics are developing very well, including the user growth I just mentioned.",This text is about a strong consumer or increased consumption.,0.642758489
"Taco sauces, green chilies and seasonings mixes led the way for the brand, driving positive performance in the back half of the fourth quarter.",This text is about a strong consumer or increased consumption.,0.505642533
And we grew 7% because we're a value in that category.,This text is about a strong consumer or increased consumption.,0.66760093
"We have augmented the line based on the feedback that we have received from the market, and the response to our newest collection has been quite positive.",This text is about a strong consumer or increased consumption.,0.366662294
"This recognition confirms what we already know, that QuickChek is a world-class food and beverage platform known for its high-quality fresh offer and innovative programs that keep customers coming back for more.",This text is about a strong consumer or increased consumption.,0.4392097
"As always, we greatly appreciate your interest in Lifeway Foods.",This text is about a strong consumer or increased consumption.,0.49894914
So we still continue at a level that is stronger than what we enjoyed even in 2019.,This text is about a strong consumer or increased consumption.,0.680374742
We are confident that the acceleration in sales in Q3 will continue into Q4.,This text is about a strong consumer or increased consumption.,0.523537517
"Last year, we sold enough rental cars to fill every US Costco parking spot 8.5 times.",This text is about a strong consumer or increased consumption.,0.428839445
We believe we are making investments in the right areas to extend our position as the undisputed hair removal category leader and continue to take share in this highly fragmented category.,This text is about a strong consumer or increased consumption.,0.627967298
"And then, finally, which is demand creation, both from sports marketing and then just big, bold brands marketing efforts.",This text is about a strong consumer or increased consumption.,0.339811951
"And our objective is to drive category and healthy volume growth through, obviously, the accelerated advertising line.",This text is about a strong consumer or increased consumption.,0.433672935
"Turning to our category performance, strong, positive comps and big-ticket items continued for the third quarter, notably in zero-turn and front-engine riding lawn mowers as well as recreational vehicles.",This text is about a strong consumer or increased consumption.,0.622450173
"So, just about all around the world, wherever the brand is popping up, we're seeing strong performance.",This text is about a strong consumer or increased consumption.,0.308555692
"With our diverse assortment of products and price points, compelling offers and convenient omnichannel touch points, we are well-positioned to support our guests as they celebrate the season and our teams are excited, engaged, and ready to help them deliver a joyful holiday.",This text is about a strong consumer or increased consumption.,0.500611484
"There's other direct-to-consumer brands that are very – fairly expensive, but people are seeing the value in what we are bringing to the market and willing to spend the extra money on it because of the product that we bring and the value that they see from it.",This text is about a strong consumer or increased consumption.,0.485654384
"Most recent trends, plus 6%, plus 7%, and almost all of that volume; obviously fueled by more and more consumers seeking the macro profiles that our products offer: high-protein, low-sugar, low-carb; and obviously seeing an increase in demand for beverage and hydration.",This text is about a strong consumer or increased consumption.,0.683235586
"Our no vac carpet cleaning product portfolio boasts a robust brand presence, a solid competitive edge, and significant growth opportunities.",This text is about a strong consumer or increased consumption.,0.552965164
"Matt, you'd mentioned kind of thinking about 60% DAU growth going forward.",This text is about a strong consumer or increased consumption.,0.687988937
"Our room nights in the second quarter grew 7%, which exceeded the high end of our guidance by 1 percentage point.",This text is about a strong consumer or increased consumption.,0.534646511
"In fact, we are further building on our multi-year track record of outperforming the leading global beauty players.",This text is about a strong consumer or increased consumption.,0.657303095
These trends indicate that future demand for new homes should remain strong.,This text is about a strong consumer or increased consumption.,0.419255227
And I look forward to finishing a strong year with you and working together to make 2025 and beyond even better.,This text is about a strong consumer or increased consumption.,0.438233167
"In Q2, contact lens sales grew approximately 45% year-over-year to a little over 10% of revenue, which remains well below the 20% industry average.",This text is about a strong consumer or increased consumption.,0.46870923
"And then I think an important question as well, is there anything you see in your market research, I know you're staying close to the consumer, that gives you any pause with the longer-term outlook for the Frito business, which has been so strong for so long?",This text is about a strong consumer or increased consumption.,0.563622296
"I think the important thing is, despite all that, I mentioned at the start in the Q&A, we've seen 11% two-year same-store sales growth for KFC around the world.",This text is about a strong consumer or increased consumption.,0.611972094
"In EMEA and APAC, strong results in Central and Eastern Europe were supported by Ožujsko in Croatia, which increased volumes 6% in the quarter, as well as the extremely successful relaunch of a legacy brand in Romania called Caraiman.",This text is about a strong consumer or increased consumption.,0.323424429
"And we feel confident in the numbers that we've given of 13% extra for Coors Light and Miller Lite, and almost 20% extra for Coors Banquet.",This text is about a strong consumer or increased consumption.,0.400353104
"As we said previously, we've been working on a number of initiatives to further improve our already strong store economics and new store returns.",This text is about a strong consumer or increased consumption.,0.355998248
